rule_rank,component_support,component_purity,component_recall,component_lift,component_base_rate,rule_text,features_used,rule_features,support,support_frac,purity,recall,lift,base_rate,n_hh_total,n_total,outer_seed,component_id,component_rank_by_size,component_size,component_share_of_hh,n_test
0,69,0.15942028985507245,0.171875,3.5944293478260865,0.04435204435204435,priors_count > 7.5 AND age > 33.5 AND priors_count <= 12.5,"['priors_count', 'age']","priors_count, age",69,0.04781704781704782,0.15942028985507245,0.171875,3.5944293478260865,0.04435204435204435,69,1443,0,1,1,64,0.927536231884058,1443
1,60,0.7166666666666667,0.671875,16.15859375,0.04435204435204435,priors_count > 7.5 AND age > 33.5 AND priors_count > 12.5,"['priors_count', 'age']","priors_count, age",60,0.04158004158004158,0.7166666666666667,0.671875,16.15859375,0.04435204435204435,69,1443,0,1,1,64,0.927536231884058,1443
2,26,0.3076923076923077,0.125,6.9375,0.04435204435204435,priors_count <= 7.5 AND age > 59.5 AND priors_count > 0.5,"['priors_count', 'age']","priors_count, age",26,0.018018018018018018,0.3076923076923077,0.125,6.9375,0.04435204435204435,69,1443,0,1,1,64,0.927536231884058,1443
3,5,0.4,0.03125,9.01875,0.04435204435204435,priors_count > 7.5 AND age <= 33.5 AND priors_count > 19.5,"['priors_count', 'age']","priors_count, age",5,0.003465003465003465,0.4,0.03125,9.01875,0.04435204435204435,69,1443,0,1,1,64,0.927536231884058,1443
0,251,0.44621513944223107,0.9655172413793104,5.550762467371892,0.08038808038808039,age <= 28.5 AND priors_count <= 1.5 AND sex_Female <= 0.5,"['age', 'priors_count', 'sex_Female']","age, priors_count, sex_Female",251,0.17394317394317393,0.44621513944223107,0.9655172413793104,5.550762467371892,0.08038808038808039,137,1443,1,0,1,116,0.8467153284671532,1443
1,69,0.014492753623188406,0.008620689655172414,0.1802848575712144,0.08038808038808039,age <= 28.5 AND priors_count <= 1.5 AND sex_Female > 0.5,"['age', 'priors_count', 'sex_Female']","age, priors_count, sex_Female",69,0.04781704781704782,0.014492753623188406,0.008620689655172414,0.1802848575712144,0.08038808038808039,137,1443,1,0,1,116,0.8467153284671532,1443
2,56,0.05357142857142857,0.02586206896551724,0.6664100985221675,0.08038808038808039,age <= 28.5 AND priors_count > 1.5 AND race_Caucasian > 0.5,"['age', 'priors_count', 'race_Caucasian']","age, priors_count, race_Caucasian",56,0.038808038808038806,0.05357142857142857,0.02586206896551724,0.6664100985221675,0.08038808038808039,137,1443,1,0,1,116,0.8467153284671532,1443
0,63,0.07936507936507936,0.04424778761061947,1.0134850400337125,0.07830907830907831,priors_count <= 10.5 AND age > 55.5 AND age <= 61.5,"['priors_count', 'age']","priors_count, age",63,0.04365904365904366,0.07936507936507936,0.04424778761061947,1.0134850400337125,0.07830907830907831,131,1443,2,0,1,113,0.8625954198473282,1443
1,55,0.34545454545454546,0.168141592920354,4.4114239742558325,0.07830907830907831,priors_count > 10.5 AND priors_count <= 14.5 AND c_charge_degree_F > 0.5,"['priors_count', 'c_charge_degree_F']","priors_count, c_charge_degree_F",55,0.038115038115038115,0.34545454545454546,0.168141592920354,4.4114239742558325,0.07830907830907831,131,1443,2,0,1,113,0.8625954198473282,1443
2,49,0.6326530612244898,0.2743362831858407,8.078923604840167,0.07830907830907831,priors_count > 10.5 AND priors_count > 14.5 AND priors_count <= 20.5,['priors_count'],priors_count,49,0.03395703395703396,0.6326530612244898,0.2743362831858407,8.078923604840167,0.07830907830907831,131,1443,2,0,1,113,0.8625954198473282,1443
