outer_seed,n_test,n_hh_total,hh_rate,n_components_all,n_components_kept,min_component_size,component_id,component_rank_by_size,component_size,component_share_of_hh
0,1443,69,0.04781704781704782,2,1,20,1,1,64,0.927536231884058
1,1443,137,0.09494109494109494,2,1,20,0,1,116,0.8467153284671532
2,1443,131,0.09078309078309078,3,1,20,0,1,113,0.8625954198473282
3,1443,267,0.18503118503118504,1,1,20,0,1,267,1.0
4,1443,54,0.037422037422037424,3,1,20,2,1,27,0.5
5,1443,71,0.0492030492030492,3,2,20,0,1,32,0.4507042253521127
5,1443,71,0.0492030492030492,3,2,20,2,2,30,0.4225352112676056
6,1443,150,0.10395010395010396,4,3,20,2,1,57,0.38
6,1443,150,0.10395010395010396,4,3,20,1,2,47,0.31333333333333335
6,1443,150,0.10395010395010396,4,3,20,3,3,26,0.17333333333333334
7,1443,173,0.11988911988911989,2,2,20,0,1,133,0.7687861271676301
7,1443,173,0.11988911988911989,2,2,20,1,2,40,0.23121387283236994
8,1443,200,0.1386001386001386,3,3,20,1,1,142,0.71
8,1443,200,0.1386001386001386,3,3,20,0,2,30,0.15
8,1443,200,0.1386001386001386,3,3,20,2,3,28,0.14
9,1443,45,0.031185031185031187,1,1,20,0,1,45,1.0
