label,method,rule_text,support,purity,recall,lift,OOB_purity_median,permutation_pval,outer_seed
HH,tree,num__priors_count > 1.256 AND num__age > -0.108 AND num__age > 0.9766,49,0.7142857142857143,0.7446808510638298,21.930091185410337,0.4225992063492063,0.001996007984031936,0
HH,tree,num__priors_count > 1.256 AND num__age > -0.108 AND num__age <= 0.9766,47,0.0851063829787234,0.0851063829787234,2.6129470348574015,0.4225992063492063,0.07784431137724551,0
HH,tree,num__age <= -0.697 AND num__priors_count <= -0.4009 AND num__age > -1.036,129,0.6201550387596899,0.5925925925925926,6.628768303186908,0.21449431283555653,0.001996007984031936,1
HH,tree,num__age <= -0.697 AND num__priors_count > -0.4009 AND num__age <= -1.036,39,0.28205128205128205,0.08148148148148149,3.0148148148148146,0.21449431283555653,0.001996007984031936,1
HH,tree,num__age <= -0.697 AND num__priors_count <= -0.4009 AND num__age <= -1.036,140,0.25,0.25925925925925924,2.672222222222222,0.21449431283555653,0.001996007984031936,1
HH,tree,num__priors_count <= 2.876 AND num__age <= 2.75 AND num__age <= -0.9545,214,0.037383177570093455,0.15384615384615385,1.0373831775700935,0.7133219954648526,0.5389221556886228,2
HH,tree,cat__race_Caucasian <= 0.5 AND num__age <= -0.9513 AND num__priors_count > -0.6044,82,0.524390243902439,0.25443786982248523,4.477485928705441,0.35889992085512096,0.001996007984031936,3
HH,tree,cat__race_Caucasian <= 0.5 AND num__age > -0.9513 AND cat__sex_Female > 0.5,137,0.24087591240875914,0.1952662721893491,2.0567097136440204,0.35889992085512096,0.001996007984031936,3
HH,tree,cat__race_Caucasian <= 0.5 AND num__age <= -0.9513 AND num__priors_count <= -0.6044,76,0.19736842105263158,0.08875739644970414,1.6852226720647774,0.35889992085512096,0.041916167664670656,3
HH,tree,num__priors_count <= 3.664 AND num__age <= 2.666 AND num__age <= -1.122,116,0.04310344827586207,0.25,3.1099137931034484,0.30457264957264957,0.02594810379241517,4
HH,tree,num__priors_count > 1.229 AND num__age > -0.1088 AND num__priors_count <= 3.27,67,0.208955223880597,0.2857142857142857,6.153518123667377,0.48306529508355067,0.001996007984031936,5
HH,tree,num__priors_count <= 3.106 AND num__age <= -0.7704 AND num__age <= -1.19,38,0.5789473684210527,0.2268041237113402,8.612588171459578,0.7787520780530346,0.001996007984031936,6
HH,tree,num__priors_count <= 3.106 AND num__age <= -0.7704 AND num__age > -1.19,311,0.10610932475884244,0.3402061855670103,1.578512944608347,0.7787520780530346,0.001996007984031936,6
HH,tree,num__age <= -0.7017 AND cat__race_Caucasian <= 0.5 AND cat__race_Hispanic <= 0.5,300,0.33,0.7674418604651163,3.6913953488372093,0.7253968253968254,0.001996007984031936,7
HH,tree,num__age <= -0.954 AND cat__race_Hispanic <= 0.5 AND cat__race_Caucasian <= 0.5,152,0.6381578947368421,0.6643835616438356,6.30727289113194,0.6870147121491896,0.001996007984031936,8
HH,tree,num__age <= -0.954 AND cat__race_Hispanic <= 0.5 AND cat__race_Caucasian > 0.5,55,0.2909090909090909,0.1095890410958904,2.875217932752179,0.6870147121491896,0.001996007984031936,8
HH,tree,num__age > 1.034 AND num__age > 1.891 AND num__age <= 2.919,85,0.07058823529411765,0.2608695652173913,4.4286445012787725,0.5739583333333333,0.003992015968063872,9
