label,type,name,frequency,outer_seed
HH,feature,num__age,3.64,0
HH,feature,num__priors_count,3.56,0
HH,feature,cat__race_Asian,0.08,0
HH,feature,cat__race_Other,0.06,0
HH,feature,cat__race_African-American,0.06,0
HH,feature,cat__c_charge_degree_M,0.06,0
HH,feature,cat__race_Caucasian,0.04,0
HH,feature_set,num__age & num__priors_count,3.34,0
HH,feature_set,cat__race_Asian & num__age & num__priors_count,0.08,0
HH,feature_set,cat__c_charge_degree_M & num__age & num__priors_count,0.06,0
HH,feature_set,cat__race_Other & num__age,0.04,0
HH,feature_set,cat__race_African-American & num__age,0.04,0
HH,feature_set,cat__race_Caucasian & num__age & num__priors_count,0.04,0
HH,feature_set,cat__race_Other & num__age & num__priors_count,0.02,0
HH,feature_set,cat__race_African-American & num__age & num__priors_count,0.02,0
HH,feature,num__age,3.1,1
HH,feature,num__priors_count,3.02,1
HH,feature,cat__sex_Male,0.24,1
HH,feature,cat__race_Other,0.08,1
HH,feature,cat__sex_Female,0.08,1
HH,feature_set,num__age & num__priors_count,2.7,1
HH,feature_set,cat__sex_Male & num__age & num__priors_count,0.24,1
HH,feature_set,cat__race_Other & num__age,0.08,1
HH,feature_set,cat__sex_Female & num__age & num__priors_count,0.08,1
HH,feature,num__priors_count,4.46,2
HH,feature,num__age,2.58,2
HH,feature,cat__c_charge_degree_M,0.12,2
HH,feature,cat__race_Caucasian,0.08,2
HH,feature,cat__c_charge_degree_F,0.06,2
HH,feature,cat__sex_Male,0.04,2
HH,feature,cat__race_African-American,0.04,2
HH,feature,cat__race_Other,0.02,2
HH,feature,cat__sex_Female,0.02,2
HH,feature_set,num__age & num__priors_count,2.38,2
HH,feature_set,num__priors_count,1.7,2
HH,feature_set,cat__c_charge_degree_M & num__priors_count,0.08,2
HH,feature_set,cat__race_Caucasian & num__age & num__priors_count,0.08,2
HH,feature_set,cat__c_charge_degree_F & num__priors_count,0.06,2
HH,feature_set,cat__c_charge_degree_M & num__age & num__priors_count,0.04,2
HH,feature_set,cat__sex_Male & num__age & num__priors_count,0.04,2
HH,feature_set,cat__race_African-American & num__priors_count,0.04,2
HH,feature_set,cat__race_Other & num__age & num__priors_count,0.02,2
HH,feature_set,cat__sex_Female & num__age & num__priors_count,0.02,2
HH,feature,num__age,3.46,3
HH,feature,cat__race_Caucasian,2.82,3
HH,feature,num__priors_count,2.52,3
HH,feature,cat__race_Other,0.88,3
HH,feature,cat__sex_Male,0.38,3
HH,feature,cat__race_African-American,0.32,3
HH,feature,cat__sex_Female,0.26,3
HH,feature,cat__race_Hispanic,0.26,3
HH,feature,cat__c_charge_degree_F,0.12,3
HH,feature,cat__c_charge_degree_M,0.04,3
HH,feature_set,cat__race_Caucasian & num__age & num__priors_count,1.86,3
HH,feature_set,cat__race_Other & num__age,0.22,3
HH,feature_set,cat__race_Caucasian & cat__race_Other & num__age,0.22,3
HH,feature_set,num__age & num__priors_count,0.18,3
HH,feature_set,cat__race_Caucasian & cat__sex_Male & num__age,0.16,3
HH,feature_set,cat__race_Caucasian & cat__race_Hispanic & num__age,0.16,3
HH,feature_set,cat__race_African-American & cat__race_Other & num__priors_count,0.14,3
HH,feature_set,cat__race_Other & num__age & num__priors_count,0.14,3
HH,feature_set,cat__race_Caucasian & num__age,0.12,3
HH,feature_set,cat__race_African-American & cat__race_Other & num__age,0.08,3
HH,feature_set,cat__race_African-American & cat__race_Caucasian & cat__race_Hispanic,0.08,3
HH,feature_set,cat__race_Caucasian & cat__sex_Female & num__age,0.06,3
