method,label,bootstrap,rule_rank,in_bag_support,in_bag_purity,oob_support,oob_purity,oob_lift,outer_seed
tree,HH,0,0,11,0.5454545454545454,7,0.14285714285714285,4.386018237082067,0
tree,HH,0,1,28,0.14285714285714285,7,0.14285714285714285,4.386018237082067,0
tree,HH,0,2,50,0.82,17,0.5294117647058824,16.2540675844806,0
tree,HH,1,0,24,0.041666666666666664,9,0.0,0.0,0
tree,HH,1,1,25,0.4,8,0.125,3.837765957446809,0
tree,HH,1,2,20,0.2,13,0.0,0.0,0
tree,HH,1,3,46,0.782608695652174,16,0.6875,21.107712765957448,0
tree,HH,2,0,12,0.16666666666666666,5,0.4,12.28085106382979,0
tree,HH,2,1,10,0.5,3,0.3333333333333333,10.23404255319149,0
tree,HH,2,2,17,0.35294117647058826,7,0.14285714285714285,4.386018237082067,0
tree,HH,2,3,42,0.8571428571428571,7,1.0,30.702127659574472,0
tree,HH,3,0,15,0.2,3,0.0,0.0,0
tree,HH,3,1,11,0.5454545454545454,4,0.0,0.0,0
tree,HH,3,2,21,0.047619047619047616,9,0.0,0.0,0
tree,HH,3,3,74,0.6216216216216216,26,0.38461538461538464,11.808510638297873,0
tree,HH,4,0,141,0.0425531914893617,58,0.0,0.0,0
tree,HH,4,1,15,0.26666666666666666,9,0.2222222222222222,6.822695035460993,0
tree,HH,4,2,26,0.11538461538461539,6,0.0,0.0,0
tree,HH,4,3,45,0.6444444444444445,21,0.8571428571428571,26.316109422492403,0
tree,HH,5,0,24,0.25,5,0.0,0.0,0
tree,HH,5,1,10,0.2,2,0.5,15.351063829787236,0
tree,HH,5,2,48,0.7916666666666666,16,0.6875,21.107712765957448,0
tree,HH,6,0,12,0.4166666666666667,7,0.14285714285714285,4.386018237082067,0
tree,HH,6,1,22,0.2727272727272727,11,0.09090909090909091,2.79110251450677,0
tree,HH,6,2,34,0.8823529411764706,12,0.8333333333333334,25.585106382978726,0
tree,HH,7,0,26,0.11538461538461539,10,0.3,9.210638297872341,0
tree,HH,7,1,10,0.5,4,0.0,0.0,0
tree,HH,7,2,11,0.09090909090909091,6,0.16666666666666666,5.117021276595745,0
tree,HH,7,3,10,0.1,1,0.0,0.0,0
tree,HH,7,4,51,0.7450980392156863,25,0.6,18.421276595744683,0
tree,HH,8,0,12,0.16666666666666666,4,0.5,15.351063829787236,0
tree,HH,8,1,36,0.1111111111111111,17,0.23529411764705882,7.224030037546934,0
tree,HH,8,2,42,0.6190476190476191,16,0.875,26.864361702127663,0
tree,HH,9,0,14,0.14285714285714285,3,0.6666666666666666,20.46808510638298,0
tree,HH,9,1,35,0.2571428571428571,15,0.13333333333333333,4.093617021276596,0
tree,HH,9,2,30,0.9333333333333333,20,0.8,24.56170212765958,0
tree,HH,10,0,10,0.2,8,0.125,3.837765957446809,0
tree,HH,10,1,13,0.15384615384615385,3,0.0,0.0,0
tree,HH,10,2,31,0.06451612903225806,5,0.0,0.0,0
tree,HH,10,3,67,0.5223880597014925,29,0.5517241379310345,16.939104915627293,0
tree,HH,11,0,15,0.26666666666666666,3,0.3333333333333333,10.23404255319149,0
tree,HH,11,1,41,0.12195121951219512,18,0.5,15.351063829787236,0
tree,HH,11,2,27,0.8148148148148148,11,0.7272727272727273,22.32882011605416,0
tree,HH,12,0,10,0.3,1,1.0,30.702127659574472,0
tree,HH,12,1,73,0.1095890410958904,29,0.0,0.0,0
tree,HH,12,2,69,0.6811594202898551,19,0.6842105263157895,21.006718924972006,0
tree,HH,13,0,39,0.23076923076923078,20,0.25,7.675531914893618,0
tree,HH,13,1,18,0.1111111111111111,10,0.0,0.0,0
tree,HH,13,2,40,0.925,13,0.7692307692307693,23.617021276595747,0
tree,HH,14,0,17,0.29411764705882354,5,0.6,18.421276595744683,0
tree,HH,14,1,15,0.06666666666666667,10,0.0,0.0,0
tree,HH,14,2,16,0.125,8,0.125,3.837765957446809,0
tree,HH,14,3,59,0.6610169491525424,18,0.5555555555555556,17.056737588652485,0
tree,HH,15,0,12,0.16666666666666666,5,0.4,12.28085106382979,0
tree,HH,15,1,15,0.2,3,0.3333333333333333,10.23404255319149,0
tree,HH,15,2,42,0.16666666666666666,12,0.16666666666666666,5.117021276595745,0
tree,HH,15,3,33,0.9393939393939394,19,0.8421052631578947,25.854423292273236,0
tree,HH,16,0,12,0.25,7,0.2857142857142857,8.772036474164134,0
tree,HH,16,1,46,0.06521739130434782,13,0.0,0.0,0
tree,HH,16,2,55,0.6727272727272727,22,0.6363636363636364,19.53771760154739,0
tree,HH,17,0,10,0.5,3,0.3333333333333333,10.23404255319149,0
tree,HH,17,1,55,0.07272727272727272,22,0.0,0.0,0
tree,HH,17,2,66,0.5303030303030303,25,0.48,14.737021276595746,0
tree,HH,18,0,48,0.0625,24,0.0,0.0,0
tree,HH,18,1,14,0.2857142857142857,4,0.5,15.351063829787236,0
tree,HH,18,2,17,0.17647058823529413,10,0.3,9.210638297872341,0
tree,HH,18,3,47,0.8723404255319149,7,1.0,30.702127659574472,0
tree,HH,19,0,10,0.1,1,0.0,0.0,0
tree,HH,19,1,20,0.35,9,0.2222222222222222,6.822695035460993,0
tree,HH,19,2,10,0.2,2,0.5,15.351063829787236,0
tree,HH,19,3,19,0.5263157894736842,8,0.625,19.188829787234045,0
tree,HH,19,4,33,1.0,5,1.0,30.702127659574472,0
tree,HH,20,0,12,0.25,5,0.2,6.140425531914895,0
tree,HH,20,1,56,0.07142857142857142,33,0.06060606060606061,1.86073500967118,0
tree,HH,20,2,46,0.6956521739130435,26,0.5769230769230769,17.71276595744681,0
tree,HH,21,0,12,0.5833333333333334,2,0.5,15.351063829787236,0
tree,HH,21,1,13,0.23076923076923078,3,0.0,0.0,0
tree,HH,21,2,41,0.7804878048780488,19,0.5263157894736842,16.159014557670773,0
tree,HH,22,0,22,0.45454545454545453,6,0.0,0.0,0
tree,HH,22,1,13,0.07692307692307693,1,0.0,0.0,0
tree,HH,22,2,12,0.3333333333333333,8,0.0,0.0,0
tree,HH,22,3,45,0.9777777777777777,12,0.6666666666666666,20.46808510638298,0
tree,HH,23,0,10,0.3,7,0.2857142857142857,8.772036474164134,0
tree,HH,23,1,10,0.1,2,0.5,15.351063829787236,0
tree,HH,23,2,49,0.1836734693877551,7,0.0,0.0,0
tree,HH,23,3,42,0.9523809523809523,13,0.7692307692307693,23.617021276595747,0
tree,HH,24,0,10,0.1,8,0.375,11.513297872340427,0
tree,HH,24,1,12,0.16666666666666666,2,0.0,0.0,0
tree,HH,24,2,17,0.058823529411764705,3,0.0,0.0,0
tree,HH,24,3,74,0.6351351351351351,20,0.65,19.956382978723408,0
tree,HH,25,0,14,0.21428571428571427,5,0.4,12.28085106382979,0
tree,HH,25,1,11,0.2727272727272727,5,0.0,0.0,0
tree,HH,25,2,37,0.16216216216216217,21,0.2857142857142857,8.772036474164134,0
tree,HH,25,3,46,0.6956521739130435,17,0.6470588235294118,19.86608260325407,0
tree,HH,26,0,11,0.18181818181818182,4,0.0,0.0,0
tree,HH,26,1,40,0.15,17,0.17647058823529413,5.4180225281602015,0
tree,HH,26,2,11,0.09090909090909091,3,0.0,0.0,0
tree,HH,26,3,21,0.09523809523809523,8,0.5,15.351063829787236,0
tree,HH,26,4,37,0.972972972972973,12,0.75,23.026595744680854,0
tree,HH,27,0,15,0.3333333333333333,6,0.3333333333333333,10.23404255319149,0
tree,HH,27,1,21,0.42857142857142855,6,0.16666666666666666,5.117021276595745,0
tree,HH,27,2,42,0.8571428571428571,12,0.8333333333333334,25.585106382978726,0
tree,HH,28,0,15,0.13333333333333333,15,0.4,12.28085106382979,0
tree,HH,28,1,10,0.3,6,0.16666666666666666,5.117021276595745,0
tree,HH,28,2,21,0.09523809523809523,7,0.0,0.0,0
tree,HH,28,3,58,0.7931034482758621,17,0.35294117647058826,10.836045056320403,0
tree,HH,29,0,17,0.11764705882352941,8,0.25,7.675531914893618,0
tree,HH,29,1,20,0.1,10,0.0,0.0,0
tree,HH,29,2,59,0.7288135593220338,19,0.5789473684210527,17.774916013437853,0
tree,HH,30,0,17,0.11764705882352941,10,0.3,9.210638297872341,0
tree,HH,30,1,51,0.058823529411764705,15,0.13333333333333333,4.093617021276596,0
tree,HH,30,2,34,0.7647058823529411,27,0.6666666666666666,20.46808510638298,0
tree,HH,31,0,12,0.25,8,0.625,19.188829787234045,0
tree,HH,31,1,12,0.5,0,0.0,0.0,0
tree,HH,31,2,11,0.09090909090909091,1,0.0,0.0,0
tree,HH,31,3,62,0.7096774193548387,15,0.6666666666666666,20.46808510638298,0
tree,HH,32,0,12,0.16666666666666666,4,0.75,23.026595744680854,0
tree,HH,32,1,10,0.3,3,0.6666666666666666,20.46808510638298,0
tree,HH,32,2,35,0.11428571428571428,13,0.38461538461538464,11.808510638297873,0
tree,HH,32,3,32,0.90625,15,0.8666666666666667,26.608510638297876,0
tree,HH,33,0,12,0.08333333333333333,6,0.5,15.351063829787236,0
tree,HH,33,1,14,0.07142857142857142,9,0.1111111111111111,3.4113475177304964,0
tree,HH,33,2,23,0.30434782608695654,24,0.125,3.837765957446809,0
tree,HH,33,3,39,0.8974358974358975,9,1.0,30.702127659574472,0
tree,HH,34,0,29,0.1724137931034483,24,0.20833333333333334,6.396276595744681,0
tree,HH,34,1,16,0.0625,7,0.0,0.0,0
tree,HH,34,2,49,0.7142857142857143,25,0.68,20.87744680851064,0
tree,HH,35,0,13,0.3076923076923077,3,0.0,0.0,0
tree,HH,35,1,13,0.3076923076923077,5,0.0,0.0,0
tree,HH,35,2,41,0.1951219512195122,8,0.125,3.837765957446809,0
tree,HH,35,3,50,0.8,14,0.8571428571428571,26.316109422492403,0
tree,HH,36,0,10,0.2,2,0.5,15.351063829787236,0
tree,HH,36,1,14,0.2857142857142857,8,0.125,3.837765957446809,0
tree,HH,36,2,36,0.1111111111111111,27,0.2222222222222222,6.822695035460993,0
tree,HH,36,3,29,0.8620689655172413,15,0.8666666666666667,26.608510638297876,0
tree,HH,37,0,12,0.16666666666666666,7,0.42857142857142855,13.158054711246201,0
tree,HH,37,1,10,0.1,10,0.1,3.0702127659574474,0
tree,HH,37,2,38,0.23684210526315788,14,0.07142857142857142,2.1930091185410334,0
tree,HH,37,3,26,0.8461538461538461,16,0.875,26.864361702127663,0
tree,HH,38,0,39,0.07692307692307693,9,0.0,0.0,0
tree,HH,38,1,10,0.4,1,1.0,30.702127659574472,0
tree,HH,38,2,16,0.1875,10,0.7,21.49148936170213,0
tree,HH,38,3,26,0.8846153846153846,20,0.55,16.88617021276596,0
tree,HH,39,0,14,0.21428571428571427,6,0.3333333333333333,10.23404255319149,0
tree,HH,39,1,23,0.17391304347826086,4,0.0,0.0,0
tree,HH,39,2,54,0.7592592592592593,17,0.5294117647058824,16.2540675844806,0
tree,HH,40,0,10,0.3,3,0.3333333333333333,10.23404255319149,0
tree,HH,40,1,10,0.1,2,0.5,15.351063829787236,0
tree,HH,40,2,29,0.13793103448275862,6,0.0,0.0,0
tree,HH,40,3,61,0.6721311475409836,19,0.631578947368421,19.39081746920493,0
tree,HH,41,0,27,0.25925925925925924,8,0.125,3.837765957446809,0
tree,HH,41,1,24,0.125,2,0.0,0.0,0
tree,HH,41,2,43,0.8837209302325582,10,0.8,24.56170212765958,0
tree,HH,42,0,11,0.18181818181818182,5,0.6,18.421276595744683,0
tree,HH,42,1,34,0.058823529411764705,7,0.14285714285714285,4.386018237082067,0
tree,HH,42,2,67,0.6716417910447762,14,0.6428571428571429,19.737082066869306,0
tree,HH,43,0,10,0.1,3,1.0,30.702127659574472,0
tree,HH,43,1,10,0.2,1,1.0,30.702127659574472,0
tree,HH,43,2,20,0.25,9,0.3333333333333333,10.23404255319149,0
tree,HH,43,3,36,0.8055555555555556,14,0.9285714285714286,28.509118541033438,0
tree,HH,44,0,14,0.42857142857142855,8,0.125,3.837765957446809,0
tree,HH,44,1,50,0.06,18,0.1111111111111111,3.4113475177304964,0
tree,HH,44,2,45,0.7555555555555555,18,0.7222222222222222,22.173758865248228,0
tree,HH,45,0,10,0.4,4,0.5,15.351063829787236,0
tree,HH,45,1,50,0.08,32,0.28125,8.63497340425532,0
tree,HH,45,2,36,0.7777777777777778,10,0.9,27.631914893617026,0
tree,HH,46,0,17,0.058823529411764705,8,0.125,3.837765957446809,0
tree,HH,46,1,10,0.4,3,0.6666666666666666,20.46808510638298,0
tree,HH,46,2,26,0.15384615384615385,5,0.0,0.0,0
tree,HH,46,3,54,0.7407407407407407,19,0.8421052631578947,25.854423292273236,0
tree,HH,47,0,29,0.034482758620689655,13,0.0,0.0,0
tree,HH,47,1,132,0.26515151515151514,50,0.3,9.210638297872341,0
tree,HH,48,0,11,0.09090909090909091,6,0.16666666666666666,5.117021276595745,0
tree,HH,48,1,10,0.4,3,0.3333333333333333,10.23404255319149,0
tree,HH,48,2,46,0.08695652173913043,14,0.0,0.0,0
tree,HH,48,3,56,0.625,16,0.6875,21.107712765957448,0
tree,HH,49,0,10,0.2,1,0.0,0.0,0
tree,HH,49,1,10,0.4,4,0.25,7.675531914893618,0
tree,HH,49,2,13,0.07692307692307693,5,0.0,0.0,0
tree,HH,49,3,43,0.11627906976744186,16,0.0625,1.9188829787234045,0
tree,HH,49,4,66,0.6818181818181818,18,0.6111111111111112,18.762411347517734,0
tree,HH,0,0,133,0.24812030075187969,57,0.21052631578947367,2.2502923976608185,1
tree,HH,0,1,141,0.6666666666666666,45,0.5777777777777777,6.175802469135801,1
tree,HH,0,2,13,0.38461538461538464,12,0.4166666666666667,4.453703703703703,1
tree,HH,0,3,28,0.2857142857142857,7,0.0,0.0,1
tree,HH,1,0,258,0.4728682170542636,113,0.35398230088495575,3.783677482792527,1
tree,HH,1,1,111,0.17117117117117117,44,0.13636363636363635,1.4575757575757573,1
tree,HH,1,2,16,0.25,4,0.25,2.672222222222222,1
tree,HH,2,0,275,0.4109090909090909,104,0.47115384615384615,5.0361111111111105,1
tree,HH,2,1,92,0.13043478260869565,49,0.08163265306122448,0.8725623582766439,1
tree,HH,2,2,41,0.12195121951219512,13,0.15384615384615385,1.6444444444444444,1
tree,HH,3,0,132,0.30303030303030304,54,0.24074074074074073,2.573251028806584,1
tree,HH,3,1,126,0.6587301587301587,50,0.54,5.772,1
tree,HH,3,2,37,0.1891891891891892,11,0.36363636363636365,3.8868686868686866,1
tree,HH,3,3,20,0.35,10,0.1,1.068888888888889,1
tree,HH,4,0,260,0.39615384615384613,111,0.45045045045045046,4.814814814814815,1
tree,HH,4,1,112,0.125,35,0.08571428571428572,0.9161904761904761,1
tree,HH,4,2,23,0.30434782608695654,11,0.18181818181818182,1.9434343434343433,1
tree,HH,5,0,288,0.4305555555555556,83,0.3493975903614458,3.7346720214190094,1
tree,HH,5,1,79,0.13924050632911392,49,0.12244897959183673,1.3088435374149658,1
tree,HH,5,2,25,0.32,7,0.14285714285714285,1.5269841269841269,1
tree,HH,6,0,249,0.41767068273092367,100,0.45,4.81,1
