method,label,rule_rank,oob_purity_mean,oob_purity_median,oob_purity_iqr,oob_lift_mean,oob_lift_median,oob_lift_iqr,oob_support_mean,oob_support_median,oob_support_iqr,outer_seed
tree,HH,0,0.29688095238095236,0.2928571428571428,0.29642857142857143,9.11487689969605,8.991337386018238,9.10098784194529,7.84,6.0,4.0,0
tree,HH,1,0.2026048828622358,0.12916666666666665,0.2953125,6.220400978089495,3.9656914893617023,9.066722074468085,9.4,6.5,7.75,0
tree,HH,2,0.36994906929243826,0.3333333333333333,0.68,11.3582235529572,10.23404255319149,20.87744680851064,12.877551020408163,12.0,11.0,0
tree,HH,3,0.6758549689478844,0.6770833333333333,0.30492610837438416,20.750185535995687,20.787898936170215,9.361880306047585,15.25,16.0,6.25,0
tree,HH,4,0.7402777777777778,0.6805555555555556,0.2041666666666666,22.728102836879437,20.894503546099294,6.268351063829787,15.0,15.0,9.5,0
tree,HH,0,0.3476835038593455,0.3651201084850833,0.1756258234519104,3.716350341252115,3.9027282706961124,1.8772449128970865,83.36,92.0,44.5,1
tree,HH,1,0.28332038479751503,0.14285714285714285,0.4123849141929499,3.0283801130578825,1.5269841269841269,4.40793652726242,40.8,40.0,16.75,1
tree,HH,2,0.28268974976405314,0.25,0.17948717948717946,3.021639325255768,2.672222222222222,1.918518518518518,10.911111111111111,11.0,7.0,1
tree,HH,3,0.12974754078873071,0.1,0.2,1.3868570470973218,1.068888888888889,2.137777777777778,10.210526315789474,10.0,8.0,1
tree,HH,0,0.13069750900767457,0.04880952380952381,0.05891489676191119,3.626855874962969,1.3544642857142857,1.6348883851430354,39.1,35.5,52.0,2
tree,HH,1,0.44833333333333336,0.4444444444444444,0.23809523809523808,12.44125,12.333333333333332,6.607142857142856,5.72,6.0,5.0,2
tree,HH,2,0.5333297682709448,0.5,0.3943181818181819,14.799901069518716,13.875,10.942329545454546,5.42,5.0,4.0,2
tree,HH,3,0.8190683430045133,1.0,0.22619047619047616,22.729146518375238,27.75,6.276785714285715,6.872340425531915,7.0,7.0,2
tree,HH,4,0.8669082125603865,1.0,0.15555555555555556,24.056702898550725,27.75,4.316666666666666,6.565217391304348,8.0,5.0,2
tree,HH,5,0.9791666666666666,1.0,0.0,27.171875,27.75,0.0,5.166666666666667,5.5,2.5,2
tree,HH,6,1.0,1.0,0.0,27.75,27.75,0.0,9.5,9.5,3.5,2
tree,HH,0,0.2569953821565292,0.26225934453534516,0.1228670634920635,2.1943451861057492,2.2392913264171774,1.049095695970696,50.28,38.0,27.0,3
tree,HH,1,0.4465239101872847,0.42878787878787883,0.3073546019198192,3.812627233137585,3.6611888111888113,2.6243354471615343,38.16,26.0,17.0,3
tree,HH,2,0.29772319214107407,0.2225,0.3153113258185722,2.542098025204556,1.8998076923076923,2.6922736281431936,51.5,21.0,47.0,3
tree,HH,3,0.45025013591716556,0.4642857142857143,0.44305962854349945,3.844443468215798,3.9642857142857144,3.7830475975637268,13.973684210526315,10.0,9.75,3
tree,HH,4,0.3866196861886517,0.41666666666666663,0.4035714285714286,3.301137320533872,3.5576923076923075,3.4458791208791206,8.25,6.5,3.25,3
tree,HH,0,0.07927150733631752,0.05064102564102564,0.07016313209148575,5.71943925431531,3.6537500000000005,5.062269980400697,26.2,20.0,28.75,4
tree,HH,1,0.47449494949494947,0.4722222222222222,0.3333333333333333,34.234810606060606,34.07083333333333,24.05,6.4,5.0,4.0,4
tree,HH,2,0.4213188738698943,0.5,0.475,30.39815674971287,36.075,34.271249999999995,5.0,4.0,4.0,4
tree,HH,3,0.30161701044053985,0.25,0.5,21.761667303284952,18.0375,36.075,4.117647058823529,4.0,4.0,4
tree,HH,4,0.25,0.25,0.0,18.0375,18.0375,0.0,4.0,4.0,0.0,4
tree,HH,0,0.15518259477188723,0.0,0.24632352941176472,4.5699690664455765,0.0,7.253976590636254,7.84,5.0,9.0,5
tree,HH,1,0.3216089103913198,0.28594771241830064,0.16692307692307695,9.471054238666824,8.420868347338935,4.9157142857142855,16.26,15.5,12.0,5
tree,HH,2,0.41464293871484187,0.3516009852216749,0.4079966329966331,12.210811440112588,10.354290238262791,12.015084518655947,18.208333333333332,20.0,15.25,5
tree,HH,3,0.7147027417027416,0.7777777777777778,0.1515151515151516,21.0472664546338,22.904761904761905,4.4619666048237505,11.12,10.0,3.0,5
tree,HH,4,1.0,1.0,0.0,29.448979591836736,29.448979591836736,0.0,7.0,7.0,0.0,5
tree,HH,0,0.33303335831572495,0.17251246831820782,0.3903014516984057,4.95430037164527,2.566345276115195,5.806237059802055,78.9,109.5,132.25,6
tree,HH,1,0.5221204240799545,0.5,0.7467962720256298,7.767214143787364,7.438144329896907,11.109556912711174,45.98,7.5,108.75,6
tree,HH,2,0.7711924956698004,1.0,0.30952380952380953,11.472482177850745,14.876288659793815,4.604565537555228,14.680851063829786,7.0,6.0,6
tree,HH,3,0.8658535239860541,1.0,0.1383928571428572,12.880686959916249,14.876288659793815,2.0587720913107503,8.73076923076923,7.0,4.0,6
tree,HH,4,0.9841269841269842,1.0,0.0,14.64015709376534,14.876288659793815,0.0,7.714285714285714,7.0,3.5,6
tree,HH,5,1.0,1.0,0.0,14.876288659793815,14.876288659793815,0.0,9.0,9.0,0.0,6
tree,HH,0,0.3076265060126328,0.3333333333333333,0.07198400827634188,3.4411244044668923,3.728682170542635,0.8052164646725681,87.8,99.0,25.0,7
tree,HH,1,0.4021587265958799,0.4365079365079365,0.2698412698412698,4.498566220758564,4.882798080472499,3.0184569952011815,16.5,7.0,4.0,7
tree,HH,2,0.7917030442610538,0.8571428571428571,0.30000000000000004,8.856027076501555,9.588039867109634,3.3558139534883713,8.63265306122449,7.0,4.0,7
tree,HH,3,0.9436755952380953,1.0,0.10624999999999996,10.555999100221483,11.186046511627906,1.1885174418604638,6.1875,6.0,2.25,7
tree,HH,4,1.0,1.0,0.0,11.186046511627906,11.186046511627906,0.0,4.0,4.0,0.0,7
tree,HH,0,0.7319391209536349,0.6378539493293591,0.36002065384313375,7.234165421480103,6.304268827960721,3.558286325312616,41.5,44.5,43.25,8
tree,HH,1,0.4043384222630856,0.4252232142857143,0.13341227737779465,3.9963037214084416,4.2027198507827785,1.3185884675079294,37.76,30.5,37.75,8
tree,HH,2,0.8032156042393112,0.8516483516483516,0.1625874125874126,7.938630937789903,8.417318982387474,1.6069427148194277,10.354166666666666,10.0,3.25,8
tree,HH,3,0.8611111111111112,0.8333333333333334,0.125,8.510844748858448,8.236301369863014,1.2354452054794525,10.0,12.0,3.0,8
tree,HH,0,0.35854256854256855,0.31666666666666665,0.40422077922077915,22.494648974214194,19.867391304347827,25.36046019198193,5.32,5.0,3.0,9
tree,HH,1,0.2860866839971355,0.14583333333333331,0.4921875,17.948829782950714,9.149456521739129,30.879415760869566,12.88,7.0,20.5,9
tree,HH,2,0.7241425579840214,0.8333333333333334,0.4,45.432074398736646,52.28260869565218,25.095652173913045,5.609756097560975,5.0,3.0,9
tree,HH,3,0.6904761904761906,1.0,0.8571428571428572,43.31987577639752,62.73913043478261,53.776397515527954,3.25,3.0,2.5,9
