label,method,rule,support,purity,lift,permutation_pval,outer_seed
HH,tree,num__priors_count <= 1.256 AND num__age > 2.395 AND num__priors_count > -0.6081,16,0.375,11.513297872340427,0.001996007984031936,0
HH,tree,num__priors_count > 1.256 AND num__age > -0.108 AND num__age <= 0.9766,47,0.0851063829787234,2.6129470348574015,0.07784431137724551,0
HH,tree,num__priors_count > 1.256 AND num__age > -0.108 AND num__age > 0.9766,49,0.7142857142857143,21.930091185410337,0.001996007984031936,0
HH,tree,num__age <= -0.697 AND num__priors_count <= -0.4009 AND num__age <= -1.036,140,0.25,2.672222222222222,0.001996007984031936,1
HH,tree,num__age <= -0.697 AND num__priors_count <= -0.4009 AND num__age > -1.036,129,0.6201550387596899,6.628768303186908,0.001996007984031936,1
HH,tree,num__age <= -0.697 AND num__priors_count > -0.4009 AND num__age <= -1.036,39,0.28205128205128205,3.0148148148148146,0.001996007984031936,1
HH,tree,num__age > -0.697 AND num__age <= -0.5273 AND num__priors_count <= -0.6032,25,0.24,2.5653333333333332,0.01996007984031936,1
HH,tree,num__priors_count <= 2.876 AND num__age <= 2.75 AND num__age <= -0.9545,214,0.037383177570093455,1.0373831775700935,0.5389221556886228,2
HH,tree,num__priors_count <= 2.876 AND num__age > 2.75,17,0.5294117647058824,14.691176470588236,0.001996007984031936,2
HH,tree,num__priors_count > 2.876 AND num__priors_count <= 3.49,17,0.4117647058823529,11.426470588235293,0.001996007984031936,2
HH,tree,num__priors_count > 2.876 AND num__priors_count > 3.49,28,1.0,27.75,0.001996007984031936,2
HH,tree,cat__race_Caucasian <= 0.5 AND num__age <= -0.9513 AND num__priors_count <= -0.6044,76,0.19736842105263158,1.6852226720647774,0.041916167664670656,3
HH,tree,cat__race_Caucasian <= 0.5 AND num__age <= -0.9513 AND num__priors_count > -0.6044,82,0.524390243902439,4.477485928705441,0.001996007984031936,3
HH,tree,cat__race_Caucasian <= 0.5 AND num__age > -0.9513 AND cat__sex_Female > 0.5,137,0.24087591240875914,2.0567097136440204,0.001996007984031936,3
HH,tree,cat__race_Caucasian > 0.5 AND num__priors_count > 0.6281 AND num__age > 0.7451,23,0.6086956521739131,5.19732441471572,0.001996007984031936,3
HH,tree,num__priors_count <= 3.664 AND num__age <= 2.666 AND num__age <= -1.122,116,0.04310344827586207,3.1099137931034484,0.02594810379241517,4
HH,tree,num__priors_count <= 3.664 AND num__age > 2.666,13,0.46153846153846156,33.300000000000004,0.001996007984031936,4
HH,tree,num__priors_count > 3.664,16,0.5625,40.584375,0.001996007984031936,4
HH,tree,num__priors_count <= 1.229 AND cat__race_Other <= 0.5 AND num__age > 2.632,10,0.1,2.9448979591836735,0.29740518962075846,5
HH,tree,num__priors_count <= 1.229 AND cat__race_Other > 0.5 AND cat__c_charge_degree_M > 0.5,25,0.44,12.957551020408163,0.001996007984031936,5
HH,tree,num__priors_count > 1.229 AND num__age > -0.1088 AND num__priors_count <= 3.27,67,0.208955223880597,6.153518123667377,0.001996007984031936,5
HH,tree,num__priors_count > 1.229 AND num__age > -0.1088 AND num__priors_count > 3.27,27,0.8148148148148148,23.995464852607707,0.001996007984031936,5
HH,tree,num__priors_count <= 3.106 AND num__age <= -0.7704 AND num__age <= -1.19,38,0.5789473684210527,8.612588171459578,0.001996007984031936,6
HH,tree,num__priors_count <= 3.106 AND num__age <= -0.7704 AND num__age > -1.19,311,0.10610932475884244,1.578512944608347,0.001996007984031936,6
HH,tree,num__priors_count > 3.106 AND num__priors_count <= 3.518,11,0.7272727272727273,10.819119025304593,0.001996007984031936,6
HH,tree,num__priors_count > 3.106 AND num__priors_count > 3.518,23,1.0,14.876288659793815,0.001996007984031936,6
HH,tree,num__age <= -0.7017 AND cat__race_Caucasian <= 0.5 AND cat__race_Hispanic <= 0.5,300,0.33,3.6913953488372093,0.001996007984031936,7
HH,tree,num__age > -0.7017 AND num__priors_count > 2.81 AND num__priors_count <= 3.616,17,0.5294117647058824,5.92202462380301,0.001996007984031936,7
HH,tree,num__age > -0.7017 AND num__priors_count > 2.81 AND num__priors_count > 3.616,16,1.0,11.186046511627906,0.001996007984031936,7
HH,tree,num__age <= -0.954 AND cat__race_Hispanic <= 0.5 AND cat__race_Caucasian <= 0.5,152,0.6381578947368421,6.30727289113194,0.001996007984031936,8
HH,tree,num__age <= -0.954 AND cat__race_Hispanic <= 0.5 AND cat__race_Caucasian > 0.5,55,0.2909090909090909,2.875217932752179,0.001996007984031936,8
HH,tree,num__age > -0.954 AND num__priors_count > 2.667 AND num__age > 0.6705,26,0.8846153846153846,8.743150684931507,0.001996007984031936,8
HH,tree,num__age > 1.034 AND num__age <= 1.891 AND num__priors_count > 2.856,13,0.23076923076923078,14.478260869565219,0.003992015968063872,9
HH,tree,num__age > 1.034 AND num__age > 1.891 AND num__age <= 2.919,85,0.07058823529411765,4.4286445012787725,0.003992015968063872,9
HH,tree,num__age > 1.034 AND num__age > 1.891 AND num__age > 2.919,15,0.9333333333333333,58.55652173913044,0.001996007984031936,9
