dataset,seed,method,quadrant,n_before,n_after,delta
compas,0,platt,A,38,58,20
compas,0,platt,B,109,87,-22
compas,0,platt,C,128,107,-21
compas,0,platt,D,1168,1191,23
compas,0,platt,TOTAL_MOVED,1443,1443,91
compas,0,isotonic,A,38,24,-14
compas,0,isotonic,B,109,121,12
compas,0,isotonic,C,128,150,22
compas,0,isotonic,D,1168,1148,-20
compas,0,isotonic,TOTAL_MOVED,1443,1443,204
compas,1,platt,A,27,36,9
compas,1,platt,B,118,109,-9
compas,1,platt,C,120,112,-8
compas,1,platt,D,1178,1186,8
compas,1,platt,TOTAL_MOVED,1443,1443,56
compas,1,isotonic,A,27,33,6
compas,1,isotonic,B,118,112,-6
compas,1,isotonic,C,120,113,-7
compas,1,isotonic,D,1178,1185,7
compas,1,isotonic,TOTAL_MOVED,1443,1443,221
compas,2,platt,A,30,55,25
compas,2,platt,B,115,90,-25
compas,2,platt,C,135,104,-31
compas,2,platt,D,1163,1194,31
compas,2,platt,TOTAL_MOVED,1443,1443,132
compas,2,isotonic,A,30,21,-9
compas,2,isotonic,B,115,125,10
compas,2,isotonic,C,135,125,-10
compas,2,isotonic,D,1163,1172,9
compas,2,isotonic,TOTAL_MOVED,1443,1443,158
compas,3,platt,A,25,42,17
compas,3,platt,B,121,103,-18
compas,3,platt,C,132,124,-8
compas,3,platt,D,1165,1174,9
compas,3,platt,TOTAL_MOVED,1443,1443,111
compas,3,isotonic,A,25,36,11
compas,3,isotonic,B,121,109,-12
compas,3,isotonic,C,132,118,-14
compas,3,isotonic,D,1165,1180,15
compas,3,isotonic,TOTAL_MOVED,1443,1443,257
compas,4,platt,A,25,57,32
compas,4,platt,B,120,90,-30
compas,4,platt,C,124,104,-20
compas,4,platt,D,1174,1192,18
compas,4,platt,TOTAL_MOVED,1443,1443,141
compas,4,isotonic,A,25,33,8
compas,4,isotonic,B,120,112,-8
compas,4,isotonic,C,124,114,-10
compas,4,isotonic,D,1174,1184,10
compas,4,isotonic,TOTAL_MOVED,1443,1443,352
compas,5,platt,A,38,48,10
compas,5,platt,B,107,105,-2
compas,5,platt,C,134,113,-21
compas,5,platt,D,1164,1177,13
compas,5,platt,TOTAL_MOVED,1443,1443,108
compas,5,isotonic,A,38,23,-15
compas,5,isotonic,B,107,122,15
compas,5,isotonic,C,134,147,13
compas,5,isotonic,D,1164,1151,-13
compas,5,isotonic,TOTAL_MOVED,1443,1443,223
compas,6,platt,A,34,47,13
compas,6,platt,B,111,98,-13
compas,6,platt,C,139,99,-40
compas,6,platt,D,1159,1199,40
compas,6,platt,TOTAL_MOVED,1443,1443,77
compas,6,isotonic,A,34,15,-19
compas,6,isotonic,B,111,130,19
compas,6,isotonic,C,139,133,-6
compas,6,isotonic,D,1159,1165,6
compas,6,isotonic,TOTAL_MOVED,1443,1443,254
compas,7,platt,A,45,57,12
compas,7,platt,B,100,88,-12
compas,7,platt,C,108,96,-12
compas,7,platt,D,1190,1202,12
compas,7,platt,TOTAL_MOVED,1443,1443,69
compas,7,isotonic,A,45,30,-15
compas,7,isotonic,B,100,115,15
compas,7,isotonic,C,108,129,21
compas,7,isotonic,D,1190,1169,-21
compas,7,isotonic,TOTAL_MOVED,1443,1443,203
compas,8,platt,A,29,38,9
compas,8,platt,B,117,107,-10
compas,8,platt,C,117,117,0
compas,8,platt,D,1180,1181,1
compas,8,platt,TOTAL_MOVED,1443,1443,104
compas,8,isotonic,A,29,54,25
compas,8,isotonic,B,117,92,-25
compas,8,isotonic,C,117,99,-18
compas,8,isotonic,D,1180,1198,18
compas,8,isotonic,TOTAL_MOVED,1443,1443,150
compas,9,platt,A,48,61,13
compas,9,platt,B,98,85,-13
compas,9,platt,C,116,104,-12
compas,9,platt,D,1181,1193,12
compas,9,platt,TOTAL_MOVED,1443,1443,102
compas,9,isotonic,A,48,32,-16
compas,9,isotonic,B,98,113,15
compas,9,isotonic,C,116,169,53
compas,9,isotonic,D,1181,1129,-52
compas,9,isotonic,TOTAL_MOVED,1443,1443,221
german,0,platt,A,7,13,6
german,0,platt,B,13,7,-6
german,0,platt,C,13,9,-4
german,0,platt,D,167,171,4
german,0,platt,TOTAL_MOVED,200,200,29
german,0,isotonic,A,7,12,5
german,0,isotonic,B,13,8,-5
german,0,isotonic,C,13,12,-1
german,0,isotonic,D,167,168,1
german,0,isotonic,TOTAL_MOVED,200,200,29
german,1,platt,A,7,9,2
german,1,platt,B,13,11,-2
german,1,platt,C,16,11,-5
german,1,platt,D,164,169,5
german,1,platt,TOTAL_MOVED,200,200,35
german,1,isotonic,A,7,8,1
german,1,isotonic,B,13,12,-1
german,1,isotonic,C,16,18,2
german,1,isotonic,D,164,162,-2
german,1,isotonic,TOTAL_MOVED,200,200,34
german,2,platt,A,11,11,0
