dataset,seed,family_1,family_2,jaccard_hh,n_hh_1,n_hh_2,variance_correlation
compas,0,GBM,LogReg,0.0,62.0,4.0,
compas,0,GBM,MLP,0.19469026548672566,62.0,208.0,
compas,0,GBM,RF,0.3269230769230769,62.0,76.0,
compas,0,GBM,kNN,0.0,62.0,59.0,
compas,0,LogReg,MLP,0.004739336492890996,4.0,208.0,
compas,0,LogReg,RF,0.012658227848101266,4.0,76.0,
compas,0,LogReg,kNN,0.0,4.0,59.0,
compas,0,MLP,RF,0.18828451882845187,208.0,76.0,
compas,0,MLP,kNN,0.022988505747126436,208.0,59.0,
compas,0,RF,kNN,0.0546875,76.0,59.0,
compas,0,GBM,LogReg,,,,0.3605417494421164
compas,0,GBM,MLP,,,,0.36683870997318013
compas,0,GBM,RF,,,,0.3264787752634384
compas,0,GBM,kNN,,,,0.07522271356159142
compas,0,LogReg,MLP,,,,0.4353072495816529
compas,0,LogReg,RF,,,,0.09129863026991623
compas,0,LogReg,kNN,,,,-0.061832220040116535
compas,0,MLP,RF,,,,0.08689174316154491
compas,0,MLP,kNN,,,,-0.1044696213526044
compas,0,RF,kNN,,,,0.2835578354180366
compas,1,GBM,LogReg,0.0,73.0,0.0,
compas,1,GBM,MLP,0.17316017316017315,73.0,198.0,
compas,1,GBM,RF,0.12337662337662338,73.0,100.0,
compas,1,GBM,kNN,0.0049261083743842365,73.0,131.0,
compas,1,LogReg,MLP,0.0,0.0,198.0,
compas,1,LogReg,RF,0.0,0.0,100.0,
compas,1,LogReg,kNN,0.0,0.0,131.0,
compas,1,MLP,RF,0.12878787878787878,198.0,100.0,
compas,1,MLP,kNN,0.06818181818181818,198.0,131.0,
compas,1,RF,kNN,0.27624309392265195,100.0,131.0,
compas,1,GBM,LogReg,,,,0.24258496569777258
compas,1,GBM,MLP,,,,0.30032490875724205
compas,1,GBM,RF,,,,0.3139517282447114
compas,1,GBM,kNN,,,,0.1717035287482212
compas,1,LogReg,MLP,,,,0.5740172155412807
compas,1,LogReg,RF,,,,-0.03179564841807546
compas,1,LogReg,kNN,,,,-0.0822772873624344
compas,1,MLP,RF,,,,0.05547637452512983
compas,1,MLP,kNN,,,,-0.021850734938859386
compas,1,RF,kNN,,,,0.5665006592272243
compas,2,GBM,LogReg,0.007575757575757576,57.0,76.0,
compas,2,GBM,MLP,0.1062992125984252,57.0,224.0,
compas,2,GBM,RF,0.09090909090909091,57.0,99.0,
compas,2,GBM,kNN,0.0,57.0,138.0,
compas,2,LogReg,MLP,0.06382978723404255,76.0,224.0,
compas,2,LogReg,RF,0.023391812865497075,76.0,99.0,
compas,2,LogReg,kNN,0.08629441624365482,76.0,138.0,
compas,2,MLP,RF,0.09121621621621621,224.0,99.0,
compas,2,MLP,kNN,0.01971830985915493,224.0,138.0,
compas,2,RF,kNN,0.0821917808219178,99.0,138.0,
compas,2,GBM,LogReg,,,,0.2896811553862288
compas,2,GBM,MLP,,,,0.28174993333156256
compas,2,GBM,RF,,,,0.37425136888869737
compas,2,GBM,kNN,,,,0.2999772291197485
compas,2,LogReg,MLP,,,,0.5387500854858468
compas,2,LogReg,RF,,,,-0.007788279585879058
compas,2,LogReg,kNN,,,,-0.08750714544617857
compas,2,MLP,RF,,,,0.028833612878362724
compas,2,MLP,kNN,,,,-0.042211135781498196
compas,2,RF,kNN,,,,0.5510094028100264
compas,3,GBM,LogReg,0.017241379310344827,55.0,4.0,
compas,3,GBM,MLP,0.0821256038647343,55.0,169.0,
compas,3,GBM,RF,0.2907801418439716,55.0,127.0,
compas,3,GBM,kNN,0.008928571428571428,55.0,58.0,
compas,3,LogReg,MLP,0.01764705882352941,4.0,169.0,
compas,3,LogReg,RF,0.007692307692307693,4.0,127.0,
compas,3,LogReg,kNN,0.0,4.0,58.0,
compas,3,MLP,RF,0.045936395759717315,169.0,127.0,
compas,3,MLP,kNN,0.013392857142857142,169.0,58.0,
compas,3,RF,kNN,0.04519774011299435,127.0,58.0,
compas,3,GBM,LogReg,,,,0.3008929590205712
compas,3,GBM,MLP,,,,0.2781320587304271
compas,3,GBM,RF,,,,0.34172754533810323
compas,3,GBM,kNN,,,,0.19142781191053307
compas,3,LogReg,MLP,,,,0.33040986951473844
compas,3,LogReg,RF,,,,0.1526970138326057
compas,3,LogReg,kNN,,,,-0.035892104246299204
compas,3,MLP,RF,,,,0.05748698069875991
compas,3,MLP,kNN,,,,-0.014822087958012691
compas,3,RF,kNN,,,,0.49183867576194884
compas,4,GBM,LogReg,0.22456140350877193,118.0,231.0,
compas,4,GBM,MLP,0.15047021943573669,118.0,249.0,
compas,4,GBM,RF,0.3724137931034483,118.0,81.0,
compas,4,GBM,kNN,0.0,118.0,58.0,
compas,4,LogReg,MLP,0.162227602905569,231.0,249.0,
compas,4,LogReg,RF,0.08333333333333333,231.0,81.0,
compas,4,LogReg,kNN,0.014035087719298246,231.0,58.0,
compas,4,MLP,RF,0.14982578397212543,249.0,81.0,
compas,4,MLP,kNN,0.03367003367003367,249.0,58.0,
compas,4,RF,kNN,0.0,81.0,58.0,
compas,4,GBM,LogReg,,,,0.28194998779032326
compas,4,GBM,MLP,,,,0.4015930767673041
compas,4,GBM,RF,,,,0.24221866658774432
compas,4,GBM,kNN,,,,0.027866321674700465
compas,4,LogReg,MLP,,,,0.204466080477678
compas,4,LogReg,RF,,,,0.006989963452607218
compas,4,LogReg,kNN,,,,-0.031570043274943865
compas,4,MLP,RF,,,,0.11196022917964447
compas,4,MLP,kNN,,,,-0.042971192750271454
compas,4,RF,kNN,,,,0.2872402618057919
compas,5,GBM,LogReg,0.032,87.0,42.0,
compas,5,GBM,MLP,0.1806853582554517,87.0,292.0,
compas,5,GBM,RF,0.3854166666666667,87.0,46.0,
compas,5,GBM,kNN,0.03278688524590164,87.0,39.0,
compas,5,LogReg,MLP,0.04375,42.0,292.0,
compas,5,LogReg,RF,0.0,42.0,46.0,
