seed,moran_full,moran_excl_prot,n_hh_full,n_hh_excl_prot,jaccard_hh
0,0.14457449237133624,0.16340303751204854,69,113,0.5041322314049587
1,0.23886280839137078,0.34785812665513827,137,168,0.5641025641025641
2,0.23181720549295876,0.2627841601605982,131,190,0.6212121212121212
3,0.36697586214870825,0.3553407534669374,267,269,0.5227272727272727
4,0.11204085235191139,0.14225281415389665,54,113,0.38016528925619836
5,0.1404758213821106,0.19932873913148974,71,104,0.4
6,0.18287836182833103,0.24672321794699045,150,177,0.4796380090497738
7,0.23034336360484117,0.311141995496802,173,170,0.573394495412844
8,0.3077890707354997,0.38025234429347093,200,216,0.569811320754717
9,0.14441900281880382,0.1528365549112389,45,60,0.6935483870967742
